d,triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
0.3,>1000,225,189,191,>1000,181,>1000,>1000
0.35,>1000,163,137,137,>1000,134,>1000,>1000
0.4,>1000,129,107,105,>1000,103,>1000,>1000
0.45,>1000,103,83,81,>1000,78,>1000,>1000
0.5,>1000,83,72,67,728,67,>1000,>1000
0.55,>1000,70,59,57,502,54,>1000,>1000
0.6,>1000,59,49,47,368,44,>1000,>1000
0.65,>1000,52,44,40,270,39,>1000,>1000
0.7,760,45,36,34,211,34,850,>1000
0.75,585,38,33,33,159,30,667,850
0.8,462,36,31,27,131,26,522,671
0.85,371,31,24,24,107,22,418,530
0.9,298,29,24,21,88,21,343,426
0.95,250,24,21,21,72,20,280,351
1.0,203,24,17,18,62,17,229,290
1.05,170,22,17,18,54,16,193,244
1.1,145,19,17,15,44,16,163,208
1.15,126,19,16,15,41,13,144,176
1.2,107,17,14,14,36,10,120,155
1.25,96,17,14,12,31,10,107,131
1.3,83,14,12,10,28,10,94,116
1.35,75,14,12,10,24,10,83,103
1.4,67,14,10,10,23,9,72,90
1.45,59,14,10,10,19,9,68,81
1.5,54,14,10,9,17,9,61,72
1.55,49,12,8,9,17,9,54,63
1.6,44,12,8,9,16,8,50,59
1.65,41,12,8,7,14,6,45,52
1.7,36,12,8,7,14,6,43,50
1.75,36,12,8,7,12,6,38,43
1.8,31,9,8,7,12,6,36,38
1.85,31,9,6,7,10,6,31,36
1.9,26,9,6,7,10,6,29,36
1.95,24,9,6,7,10,6,29,31
2.0,24,9,6,7,8,6,27,29
