d,triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
0.3,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.35,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.4,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.45,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.5,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.55,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.6,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.65,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.7,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.75,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.8,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.85,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.9,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
0.95,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.0,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.05,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.1,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.15,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.2,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.25,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.3,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.35,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.4,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.45,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.5,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.55,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.6,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.65,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.7,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.75,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.8,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.85,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.9,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
1.95,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
2.0,>1000,>1000,>1000,>1000,>1000,>1000,>1000,>1000
